id,utterance,source,generation_strategy,model_name,prompt_text,dialogue_text,turn_index,speaker,tokens,pos_tags,labels,Language
1,"""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",1,Li,"['""', ',', 'Sarah', '我们', '的', 'PR', '已经', 'merge', '了', '，', '我们', '要', '不要', '赶紧', 'deploy', '到', 'staging', '看', '一下', '？', '""']","['PUNCT', 'PUNCT', 'PROPN', 'r', 'uj', 'NOUN', 'd', 'VERB', 'ul', 'PUNCT', 'r', 'v', 'df', 'd', 'VERB', 'v', 'VERB', 'v', 'm', 'PUNCT', 'PUNCT']","{'zh', 'other', 'en', 'punct'}","['punct', 'punct', 'en', 'zh', 'zh', 'en', 'zh', 'en', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'en', 'zh', 'en', 'zh', 'zh', 'punct', 'punct']"
1,"""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",2,Sarah,"['""', '好', '的', '，', '我', '来', 'build', '一下', '代码', '，', '然后', '我们', '可以', '一起', '测试', '看看', '有没有', '。', '""', 'bug']","['PUNCT', 'a', 'uj', 'PUNCT', 'r', 'v', 'VERB', 'm', 'n', 'PUNCT', 'c', 'r', 'c', 'm', 'vn', 'v', 'v', 'PUNCT', 'PUNCT', 'NOUN']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'zh', 'other', 'zh', 'zh', 'en', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'punct', 'punct', 'en']"
1,"""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",3,Li,"['""', '.', 'Sounds', 'like', 'a', 'plan', '我', '觉得', 'deadline', '前能', '把', '这个', 'feature', '上线', '是', 'feasible', '的', '。', '""']","['PUNCT', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'r', 'v', 'NOUN', 'v', 'p', 'r', 'NOUN', 'n', 'v', 'ADJ', 'uj', 'PUNCT', 'PUNCT']","{'zh', 'en', 'punct'}","['punct', 'punct', 'en', 'en', 'en', 'en', 'zh', 'zh', 'en', 'zh', 'zh', 'zh', 'en', 'zh', 'zh', 'en', 'zh', 'punct', 'punct']"
1,"""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",4,Sarah,"['""', '是', '的', '，', '我', '觉得', '我们', '可以', '先', '，', 'focus', 'on', 'QA', '确保', '没有', '什么', '大', '的', '问题', '。', '""']","['PUNCT', 'v', 'uj', 'PUNCT', 'r', 'v', 'r', 'c', 'd', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'v', 'v', 'r', 'a', 'uj', 'n', 'PUNCT', 'PUNCT']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'en', 'en', 'en', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'punct', 'punct']"
1,"""对，我们可以先 workaround 一些小问题，然后逐步解决。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",5,Li,"['""', '对', '，', '我们', '可以', '先', 'workaround', '一些', '小', '问题', '，', '然后', '逐步', '解决', '。', '""']","['PUNCT', 'p', 'PUNCT', 'r', 'c', 'd', 'NOUN', 'm', 'a', 'n', 'PUNCT', 'c', 'd', 'v', 'PUNCT', 'PUNCT']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'other', 'zh', 'zh', 'zh', 'en', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'punct', 'punct']"
1,"""没错，我觉得这样可以避免一些大的 headache。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",6,Sarah,"['""', '没错', '，', '我', '觉得', '这样', '可以', '避免', '一些', '大', '的', '。', '""', 'headache']","['PUNCT', 'v', 'PUNCT', 'r', 'v', 'r', 'c', 'v', 'm', 'a', 'uj', 'PUNCT', 'PUNCT', 'PROPN']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'punct', 'punct', 'en']"
1,"""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们的 PR 已经 merge 了，我们要不要赶紧 deploy 到 staging 看一下？""
Sarah: ""好的，我来 build 一下代码，然后我们可以一起测试看看有没有 bug。""
Li: ""Sounds like a plan. 我觉得 deadline 前能把这个 feature 上线是 feasible 的。""
Sarah: ""是的，我觉得我们可以先 focus on QA，确保没有什么大的问题。""
Li: ""对，我们可以先 workaround 一些小问题，然后逐步解决。""
Sarah: ""没错，我觉得这样可以避免一些大的 headache。""
Li: ""好的，那我们赶紧开始吧，别忘了我们下周有 sprint planning meeting.""",7,Li,"['""', '好', '的', '，', '那', '我们', '赶紧', '开始', '吧', '，', '别忘了', '我们', '下周', '有', '.', '""', 'sprint', 'planning', 'meeting']","['PUNCT', 'a', 'uj', 'PUNCT', 'r', 'r', 'd', 'v', 'y', 'PUNCT', 'l', 'r', 't', 'v', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'punct', 'punct', 'en', 'en', 'en']"
2,"""Sarah, 我们需要在明天之前 deploy the latest changes to production.""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们需要在明天之前 deploy the latest changes to production.""
Sarah: ""好的，我会先 build 一下代码，然后进行 QA 测试。""
Li: ""Great. 如果有 bug 我们可以先做一个 temporary workaround，然后再继续 fix.""
Sarah: ""明白，我会先进行 deploy，然后通知你测试结果。""
Li: ""Sounds like a plan. 我们一定要在 deadline 前解决所有问题。""
Sarah: ""是的，我们会尽最大努力确保代码 merge 后没有任何问题出现。""
Li: ""谢谢你的配合，我们一起加油吧！""
Sarah: ""当然，团队合作一定会让我们顺利完成任务的。""",1,Li,"['""', ',', 'Sarah', '我们', '需要', '在', '明天', '之前', '.', '""', 'deploy', 'the', 'latest', 'changes', 'to', 'production']","['PUNCT', 'PUNCT', 'PROPN', 'r', 'v', 'p', 't', 'f', 'PUNCT', 'PUNCT', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']","{'zh', 'en', 'punct'}","['punct', 'punct', 'en', 'zh', 'zh', 'zh', 'zh', 'zh', 'punct', 'punct', 'en', 'en', 'en', 'en', 'en', 'en']"
2,"""好的，我会先 build 一下代码，然后进行 QA 测试。""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们需要在明天之前 deploy the latest changes to production.""
Sarah: ""好的，我会先 build 一下代码，然后进行 QA 测试。""
Li: ""Great. 如果有 bug 我们可以先做一个 temporary workaround，然后再继续 fix.""
Sarah: ""明白，我会先进行 deploy，然后通知你测试结果。""
Li: ""Sounds like a plan. 我们一定要在 deadline 前解决所有问题。""
Sarah: ""是的，我们会尽最大努力确保代码 merge 后没有任何问题出现。""
Li: ""谢谢你的配合，我们一起加油吧！""
Sarah: ""当然，团队合作一定会让我们顺利完成任务的。""",2,Sarah,"['""', '好', '的', '，', '我会', '先', 'build', '一下', '代码', '，', '然后', '进行', 'QA', '测试', '。', '""']","['PUNCT', 'a', 'uj', 'PUNCT', 'n', 'd', 'VERB', 'm', 'n', 'PUNCT', 'c', 'v', 'PROPN', 'vn', 'PUNCT', 'PUNCT']","{'zh', 'other', 'en', 'punct'}","['punct', 'zh', 'zh', 'other', 'zh', 'zh', 'en', 'zh', 'zh', 'other', 'zh', 'zh', 'en', 'zh', 'punct', 'punct']"
2,"""Great. 如果有 bug 我们可以先做一个 temporary workaround，然后再继续 fix.""",LLM,"['few-shot', 'persona-based']",gpt-3.5-turbo,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. 
Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, 
and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English–Mandarin code-switching** at the **phrase level**.
Include at least one trigger word: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","Li: ""Sarah, 我们需要在明天之前 deploy the latest changes to production.""
Sarah: ""好的，我会先 build 一下代码，然后进行 QA 测试。""
Li: ""Great. 如果有 bug 我们可以先做一个 temporary workaround，然后再继续 fix.""
Sarah: ""明白，我会先进行 deploy，然后通知你测试结果。""
Li: ""Sounds like a plan. 我们一定要在 deadline 前解决所有问题。""
Sarah: ""是的，我们会尽最大努力确保代码 merge 后没有任何问题出现。""
Li: ""谢谢你的配合，我们一起加油吧！""
Sarah: ""当然，团队合作一定会让我们顺利完成任务的。""",3,Li,"['""', '.', 'Great', '如果', '有', 'bug', '我们', '可以', '先', '做', '一个', '，', 'temporary', 'workaround', '然后', '再', '继续', '.', '""', 'fix']","['PUNCT', 'PUNCT', 'ADJ', 'c', 'v', 'NOUN', 'r', 'c', 'd', 'v', 'm', 'PUNCT', 'ADJ', 'NOUN', 'c', 'd', 'v', 'PUNCT', 'PUNCT', 'NOUN']","{'zh', 'other', 'en', 'punct'}","['punct', 'punct', 'en', 'zh', 'zh', 'en', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'en', 'en', 'zh', 'zh', 'zh', 'punct', 'punct', 'en']"
